Company Name,Year,Date,Text,URL,word_count,Cat_E,Cat_S,Cat_G,Cat_N,Resource_Use_active,Resource_Use_reasoning,Emissions_active,Emissions_reasoning,Innovation_active,Innovation_reasoning,Workforce_active,Workforce_reasoning,Human_Rights_active,Human_Rights_reasoning,Community_active,Community_reasoning,Product_Responsibility_active,Product_Responsibility_reasoning,Management_active,Management_reasoning,Shareholders_active,Shareholders_reasoning,CSR_Strategy_active,CSR_Strategy_reasoning
Fossil Group Inc,2025,2025-07-02T14:57:13.754Z,"We are pleased to announce that industry powerhouse Lakshman Lakshmanan has joined Fossil Group as Chief Supply Chain Officer. Laks brings extensive expertise in comprehensive supply chain planning and logistics, and under his leadership, we aim to further drive our strategy to become a leader in the watch industry. For more information about his role, visit our News Hub at https://lnkd.in/gWiNxEcu. #FossilGroupCareers #WeAreFossilGroup #GreaterTogether",https://www.linkedin.com/posts/fossil_fossilgroupcareers-wearefossilgroup-greatertogether-activity-7346190218707746816-sDKx?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,64,No,No,Yes,No,No,"Post does not discuss materials, energy, or water use, nor eco-efficient supply chain management or resource reduction strategies.",No,"No mention of emissions, pollution, or related reduction commitments.",No,"No reference to environmental technologies, green processes, or eco-designed products.",No,"No discussion of employees, workplace safety, compensation, training, or diversity.",No,"No explicit human rights policies, supplier auditing, or rights-related commitments mentioned.",No,"No mention of corporate citizenship, local impact, or community programs.",No,"No content on product safety, quality, or customer data privacy.",Yes,Announcement of a new Chief Supply Chain Officer reflects executive leadership and governance structure.,No,No discussion of shareholder relations or investor reporting.,No,No description of integrating ESG topics into overall CSR strategy or decision-making.
Hermes International SCA,2026,2026-04-23T16:01:10.311Z,"At Université de Technologie de Troyes, with tomorrow’s engineers, we shared a key aspect of our corporate vision, which combines savoir-faire and innovation on a daily basis.

A talk between two in-house engineers – an Information Systems expert and a Supply Chain expert from the Upstream division – provided a concrete illustration of how these roles work together to meet Hermès’ industrial challenges.

The discussion continued during a recruitment session where students were able to explore tangible career opportunities within the house.

From production to quality control and IT solutions, being an engineer at Hermès means working in a constantly evolving environment, where technical expertise supports our artisanal model. 

Discover our internship and work-study opportunities: https://lnkd.in/euYXbkq8

#HermesTalents #PassingOn #Engineers",https://www.linkedin.com/posts/hermes-group_hermestalents-passingon-engineers-activity-7453110730746351616-htBR?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAACLsbp4BzPFCIR2ce3YnFUEXbi29SqtvI14,119,No,Yes,No,No,No,"No references to materials, energy, water use, eco-efficient supply chains, or resource-reduction strategies in the post.",No,No mentions of emissions or pollution reduction measures.,No,"The post references innovation in a general sense but does not discuss environmental technologies, eco-design, or eco-efficient processes.",Yes,"Talk of internships, work-study opportunities, recruitment sessions, and engineers suggests focus on developing the internal workforce and opportunities for employees and students.",No,No explicit human rights policies or supplier audits mentioned.,No,"No explicit community engagement, charity, or local social impact described.",Yes,"Mentions production and quality control, indicating focus on product quality and integrity.",No,"No discussion of governance structures, executive compensation, or board-level topics.",No,No content related to investor relations or shareholders.,No,"No reference to overarching CSR governance, reporting, or strategy integration."
Coats Group PLC,2025,2025-05-30T11:02:51.989Z,"In Bogor, Indonesia, through the Coats Cares initiative, our Coats Indonesia team partnered with NGO Beneath Bike to support local women from low-income families. 🧵🌿 We provided sewing and online selling training, helping 25 women turn fabric waste into products like tote bags and tablecloths. This project creates income, builds confidence, and promotes sustainability. 💚

#CoatsCares #EmpoweringCommunities #SustainableImpact",https://www.linkedin.com/posts/coats_coatscares-empoweringcommunities-sustainableimpact-activity-7334172439825850368-4mjl?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADXjFvUB0xG1Iocpo4MBioztPrr0FlCb9pg,58,Yes,Yes,Yes,No,Yes,"The post describes turning fabric waste into tote bags and tablecloths, indicating reuse of materials and eco-efficient resource management within a community project.",No,"No mention of emissions, pollution, or strategies to reduce emissions.",No,"No reference to environmental technologies, green processes, or eco-designed products beyond general sustainability.",No,The content concerns external beneficiaries (local women) rather than Coats' internal employees or staff.,No,No explicit human rights policy or supplier auditing mentioned.,Yes,Describes corporate citizenship with NGO partnership and local community impact via skills training and income generation.,No,"No explicit discussion of product safety, quality, or customer health. Products are mentioned but not in a safety context.",No,"No references to governance, leadership, or executive compensation.",No,No investor relations or shareholder governance discussed.,Yes,"The post communicates a CSR initiative (Coats Cares) and its outcomes, reflecting CSR strategy and ongoing social impact reporting."
Gabriel Holding A/S,2025,2025-11-20T11:29:14.448Z,"Momentum continues.
 
Today we published our annual report for 2024/25, showing strong growth on both the top and bottom line. Revenue from continuing operations increased to DKK 516 million, while EBIT rose sharply to DKK 44 million – well ahead of our expectations for the year.
 
We delivered this result in a furniture market still marked by uncertainty. Over the year we gained market share, strengthened cash flow and reduced debt. In short, we are on the right course, and our strategic initiatives are having the desired effect.
 
We expect this positive momentum to continue in 2025/26, while maintaining a clear focus on sustainability – including our LOOP programme and our commitment to the Science Based Targets initiative (SBTi).
 
Hear from our CEO, Anders Hedegaard Petersen, as he walks you through this year’s results and our outlook for 2025/26.",https://www.linkedin.com/posts/gabriel_momentum-continues-today-we-published-activity-7397234565754425344-eBRV?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,139,Yes,No,Yes,No,No,"The post mentions sustainability efforts and the LOOP programme, but it provides no explicit evidence of resource use reduction (materials, energy, water) or eco-efficient supply chain practices.",Yes,"The post explicitly references the commitment to the Science Based Targets initiative (SBTi), which is a framework focused on reducing greenhouse gas emissions, indicating an emissions-related objective.",No,"There is no explicit mention of environmental technologies, green processes, or eco-designed products. LOOP could imply circular economy activities, but it is not described as an environmental innovation.",No,"There is no discussion of employees, workplace health and safety, compensation, or training opportunities in the post.",No,"The post does not reference human rights policies, audits, or related risks.",No,"There is no mention of community engagement, philanthropy, or local social impact initiatives.",No,"There is no explicit reference to product health and safety, quality, or customer data privacy.",No,"The post cites the CEO and discusses results, but it does not provide evidence of governance principles, board structure, executive compensation, or related governance details.",Yes,"The post announces the annual report for 2024/25 and discusses revenue, EBIT, market stance, and cash/debt, which are typical elements of investor relations and reporting to shareholders.",Yes,"The post emphasizes sustainability focus and references the LOOP programme and SBTi, indicating integration of environmental and social governance into strategic decision-making."
Fossil Group Inc,2025,2025-09-11T20:34:23.282Z,"Our 2024 Corporate Sustainability Highlights Report is here!

“At the heart of our business is a deep commitment to the planet, our communities, and the people who make everything we do possible—an approach we bring to life through Make Time for Good, our framework for managing environmental, social, and governance initiatives and guiding our journey as a purpose-driven company,” said Fossil Group CEO, Franco Fogliato.

2024 Highlights: 

♻️ Reduced 61.8% in absolute emissions of Scope 3 (2021 baseline).

♀️ Increased our Women’s Empowerment Principles Assessment Score to 75%, reaching the top quartile (our 2025 goal - a year ahead of schedule).

🫶 Increased employee volunteerism. Hours surged by 58%, reflecting the team's dedication to community engagement.

Explore the full report at: https://lnkd.in/dDnsCAAb
#MakeTimeForGood #GreaterTogether #WeAreFossilGroup",https://www.linkedin.com/posts/fossil_maketimeforgood-greatertogether-wearefossilgroup-activity-7372004605955727360-to1T?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqFALABPq3VIXzLuPrRwsY5BnCGJGrVoow,125,Yes,Yes,Yes,No,No,"The post does not mention materials, energy, or water consumption, nor eco-efficient supply chain solutions or reductions in resource inputs.",Yes,Explicitly states a 61.8% reduction in absolute emissions of Scope 3 (2021 baseline).,No,"No reference to environmental technologies, green processes, or eco-designed products.",Yes,"Mentions Women's Empowerment Principles Assessment Score (75%, top quartile) and implied focus on workforce diversity and development.",No,"No explicit human rights policies, conventions, or supplier auditing discussed.",Yes,Notes increased employee volunteering hours (58% rise) and references community engagement.,No,"No content on product quality, safety, customer health, or data privacy.",Yes,"Refs a framework for managing environmental, social, and governance initiatives and includes CEO involvement, indicating governance/management structure.",No,"No information on investor relations, shareholder reporting, or anti-takeover measures.",Yes,"Describes the Make Time for Good framework and its role in guiding ESG initiatives, signaling overarching CSR strategy and integration into decision-making."
Ermenegildo Zegna NV,2026,2026-03-04T15:21:45.174Z,"For the 25th consecutive year, our collaboration with the MAFED (Master in Fashion, Experience & Design Management) at the SDA Bocconi School of Management continues - a long-standing partnership grounded in a shared commitment to shaping the future of fashion and luxury.

Last week, we had the pleasure of kicking off the new edition with a guest lecture in the School’s auditorium. Our Heads of Merchandising, Maria Vittoria Tabanelli and Mattia Giustacchini, delivered an in-depth session within the Industry Analysis in Fashion and Luxury course, exploring the evolution of menswear through the lens of market shifts and competitive dynamics - offering students a strategic perspective on today’s luxury landscape.
A sincere thank you to the MAFED students for their engaged participation and to Tenured Lecturer Erica Corbellini for the kind invitation.

We look forward to continuing this journey together in the months ahead.
#WithinZEGNA",https://www.linkedin.com/posts/ermenegildo-zegna_withinzegna-activity-7434981417362710528-RoLw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGDMViMBG9gX-SKmC140_FYQmXeoiXG6C2k,144,No,No,No,Yes,No,"The post does not mention materials, energy, or water consumption, eco-efficient supply chains, or resource reduction strategies.",No,"There is no discussion of environmental pollution, emissions data, or commitments to reduce emissions.",No,"No reference to environmental technologies, green processes, or eco-designed products.",No,"No content about employees, workplace safety, compensation, diversity, or training opportunities.",No,"No mention of human rights policies, supplier audits, or related governance topics.",No,"No discussion of corporate citizenship, public health protections, local social impact, or charity.",No,"No reference to product quality, consumer health and safety, or data privacy.",No,"No content about corporate governance, executive leadership, or board-related topics.",No,"No discussion of investor relations, shareholder reporting, or anti-takeover considerations.",No,"No overarching CSR strategy or integration of environmental, social, and governance topics into decision-making is evident."
Gabriel Holding A/S,2026,2026-02-19T11:00:15.698Z,"One of the pieces defining the atmosphere in our Warsaw showroom is the iconic Egg Chair by ARNE JACOBSEN® DESIGN, upholstered in Uptown.

With its large-scale open grid, Uptown reflects the urban rhythm of Warsaw through a refined Scandinavian lens. The architectural pattern appears graphic from afar, yet reveals an organic calm up close. 

In a district defined by contemporary office buildings and clean lines, the structured pattern feels naturally at home, while soft light and drapery inside the showroom enhance the grid’s subtle contrasts.

Explore Uptown https://lnkd.in/eG2uRRgh",https://www.linkedin.com/posts/gabriel_one-of-the-pieces-defining-the-atmosphere-activity-7430204568677879809-gxX2?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEsntggBsZ3j--2X3xlvXMIZKK2Ymt0pMxg,88,No,No,No,Yes,No,"No explicit evidence of resource use, energy, water, or eco-efficient supply chain topics in the post; it focuses on design aesthetics of a showroom piece.",No,"No discussion of emissions, pollution, or reduction measures within production or operations.",No,"No mention of environmental technologies, green processes, or eco-designed products aimed at reducing environmental costs.",No,"No reference to employees, workplace safety, compensation, diversity, or training opportunities.",No,"No mention of human rights policies, supplier auditing, or related conventions.",No,"No reference to corporate citizenship, local social impact, health protections, or philanthropy.",No,"No discussion of product quality, customer health and safety, or data/privacy aspects.",No,"No content related to governance, leadership, board structure, or executive compensation.",No,"No mention of investor relations, reporting to shareholders, or anti-takeover considerations.",No,"No overarching ESG governance, social, or environmental strategy or reporting discussed."
Pou Chen Corp,2025,2025-10-17T03:00:02.736Z,"🌟 Workplace Burnout🌟

💡Have you felt so drained that when you want to finish a simple task it feels tiresome and hard. This is a sign of a burnout.

👉Burnout is a state of emotional, physical, and mental exhaustion caused by prolonged or excessive stress at work. Unlike ordinary fatigue, burnout builds up over time and can affect both performance and motivation.

Some common signs of burnout include :
💠Constant exhaustion, no matter how much you rest
💠Decreased productivity and difficulty concentrating
💠Feeling detached, unmotivated, or negative toward work
💠Physical symptoms like headaches, tension, or trouble sleeping

🤔Why is it important to talk about this? Because burnout doesn’t just affect individuals but also surroundings. 

✨ In workplace, when employees understand the signs of burnout, they can take proactive steps to protect themselves, and companies can create systems that encourage balance and care. This will help the employees to feel matters and the company culture can be healthier. 

#Pouchengroupindonesia #Manufacture #Atleticshoe #Burnout #Awareness #Workplace",https://www.linkedin.com/posts/pouchengroupindonesia_pouchengroupindonesia-manufacture-atleticshoe-activity-7384785235156230144-oL7m?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgjPbUBezTI8Hq3YZEHPDYXMhtl4HhVFkU,163,No,Yes,No,No,No,"The post centers on burnout and workplace wellbeing; it does not mention materials, energy, water, or eco-efficient supply chain topics.",No,No discussion of pollution or emissions reduction; focus is on employee stress and organizational culture.,No,No reference to environmental technologies or eco-designed products.,Yes,"Explicit discussion of burnout, emotional/physical exhaustion, and the need for systems that protect employees and foster a healthier company culture; aligns with Workforce category.",No,No mention of human rights conventions or supplier auditing.,No,"No explicit corporate citizenship, public health protections, or local charity activities are described.",No,"No mention of product quality, consumer health, or data privacy.",No,"No discussion of corporate governance, executive compensation, or board structure.",No,No discussion of investor relations or anti-takeover devices.,No,No explicit discussion of overarching CSR reporting or integration of ESG topics into decision-making.
Chow Sang Sang Holdings International Ltd,2025,2025-10-02T04:30:02.382Z,"Chow Sang Sang is excited to unveil our latest collaboration with Randomevent, to present a Charme pop-up experience in Chengdu. This limited-time space brings together jewellery, music, and street fashion in a creative and immersive setting.

At the heart of the experience is the debut of the Charme Trunk — a mobile concept inspired by the jewellery box, reimagined as a travelling creative studio. It showcases the full Charme collection and invites visitors to explore personalised styling through meaningful, locally inspired designs.

Reflecting the spirit of “Charme My Way,” this collaboration continues to push the boundaries of jewellery innovation, connecting with a new generation through creativity, craftsmanship, and cultural relevance.

#ChowSangSang #Randomevent #Charme #CharmeMyWay #Chengdu #JewelleryInnovation #Craftsmanship",https://www.linkedin.com/posts/chow-sang-sang_chowsangsang-randomevent-charme-activity-7379372064928894976-QZ_i?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAGB6y44BXl0aI8QCDjTYR-RvKtLlWySKDw0,117,Yes,No,No,No,No,"The post does not mention materials, energy, water use, eco-efficient supply chains, or resource reduction.",No,"There is no discussion of pollution, emissions targets, or reductions.",Yes,"The post highlights jewellery innovation with phrases like 'pushing the boundaries of jewellery innovation' and describes Charme Trunk as an innovative mobile concept, indicating a focus on new/eco-design approaches.",No,"No content about employees, workplace conditions, or related workforce topics.",No,"No mention of human rights policies, audits, or related practices.",No,"No explicit references to corporate citizenship, local community impact, public health protections, or charity.",No,"No explicit discussion of product safety, quality assurance, or customer data/privacy impacts.",No,"No governance, leadership, or board-related content is presented.",No,No investor relations or shareholder-related information is provided.,No,"No mention of overarching CSR strategy, governance integration, or day-to-day decision-making tied to ESG objectives."
Gildan Activewear Inc,2026,2026-02-27T13:00:25.380Z,"Last month at the PPAI - Promotional Products Association International Expo in Las Vegas, Nevada, our teams did what they do best: connected and showcased Gildan’s universal staples. 

Across our brand exhibits—featuring everything from ultra cotton essentials to totes and sweatpants—we demonstrated why Gildan remains a trusted partner in the promotional products industry. Distributors experienced our quality firsthand, explored innovative printing capabilities, and saw the range that makes us a reliable source for their diverse needs. 

During the four-day event, we deepened relationships with suppliers and gathered insights that will continue shaping how we serve this vibrant industry. Thank you to the suppliers, distributors, and partners who made this such a valuable experience. 

#MakingApparelBetter #PPAIExpo",https://www.linkedin.com/posts/gildan_makingapparelbetter-ppaiexpo-activity-7433133911200784385-FnBA?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAFgUjgkBGSmiRXCkFw7DGB-O57R2S_JLFDk,115,No,No,No,Yes,No,"The post does not mention materials usage, energy or water consumption, eco-efficient supply chains, or resource reduction.",No,"There is no reference to emissions, pollution, or emissions reduction commitments or measures.",No,"Although it mentions 'innovative printing capabilities,' there is no explicit evidence of environmental technologies, green processes, or eco-designed products related to reducing environmental costs.",No,"The post does not discuss employees, workplace safety, compensation, diversity, or training opportunities.",No,"No mention of human rights policies, supplier auditing, or related rights issues.",No,"No content related to corporate citizenship, public health protections, ethics, localized social impact, or charity.",No,"No discussion of product quality, consumer safety, or data privacy concerns; content centers on marketing and relationships.",No,"No reference to governance structures, executive leadership, or board-level topics.",No,No investor relations content or discussion of shareholder treatment or anti-takeover devices.,No,"No overarching sustainability reporting, governance, or integration of environmental/social topics into decision-making is described."
